2024-07-16 17:44:06 {'x_pos': 1, 'y_pos': 1562, 't_pos': 21157, 'x_vel': 6, 'y_vel': 279, 't_vel': 30249}
2024-07-16 17:44:06 {'yaw': 3593, 'pitch': 14, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -1}
2024-07-16 17:44:07 {'x_pos': 1, 'y_pos': 1586, 't_pos': 12202, 'x_vel': 6, 'y_vel': 279, 't_vel': 21294}
2024-07-16 17:44:07 {'yaw': 3595, 'pitch': 14, 'roll': 29, 'x_acceleration': 1, 'y_acceleration': -2, 'z_acceleration': -9}
2024-07-16 17:44:07 {'x_pos': 2, 'y_pos': 1612, 't_pos': 2618, 'x_vel': -2, 'y_vel': 233, 't_vel': 11703}
2024-07-16 17:44:07 {'yaw': 3596, 'pitch': 13, 'roll': 29, 'x_acceleration': -1, 'y_acceleration': -2, 'z_acceleration': -11}
2024-07-16 17:44:07 {'x_pos': 3, 'y_pos': 1639, 't_pos': -6832, 'x_vel': -2, 'y_vel': 233, 't_vel': 2253}
2024-07-16 17:44:07 {'yaw': 3596, 'pitch': 13, 'roll': 29, 'x_acceleration': -4, 'y_acceleration': 0, 'z_acceleration': 1}
2024-07-16 17:44:07 {'x_pos': 4, 'y_pos': 1666, 't_pos': -16732, 'x_vel': -2, 'y_vel': 233, 't_vel': -7647}
2024-07-16 17:44:07 {'yaw': 3597, 'pitch': 13, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': -1, 'z_acceleration': -8}
2024-07-16 17:44:07 {'x_pos': 4, 'y_pos': 1693, 't_pos': -26496, 'x_vel': -2, 'y_vel': 233, 't_vel': -17412}
2024-07-16 17:44:07 {'yaw': 3599, 'pitch': 14, 'roll': 28, 'x_acceleration': 1, 'y_acceleration': 2, 'z_acceleration': 3}
2024-07-16 17:44:07 {'x_pos': 4, 'y_pos': 1721, 't_pos': 29095, 'x_vel': -2, 'y_vel': 233, 't_vel': -27357}
2024-07-16 17:44:07 {'yaw': 3598, 'pitch': 14, 'roll': 28, 'x_acceleration': 3, 'y_acceleration': 1, 'z_acceleration': 4}
2024-07-16 17:44:07 {'x_pos': 4, 'y_pos': 1748, 't_pos': 19286, 'x_vel': 6, 'y_vel': 265, 't_vel': 28374}
2024-07-16 17:44:07 {'yaw': 3585, 'pitch': 14, 'roll': 29, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -10}
2024-07-16 17:44:07 {'x_pos': 3, 'y_pos': 1776, 't_pos': 9386, 'x_vel': 6, 'y_vel': 265, 't_vel': 18474}
2024-07-16 17:44:07 {'yaw': 3578, 'pitch': 14, 'roll': 28, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -13}
2024-07-16 17:44:07 {'x_pos': 3, 'y_pos': 1804, 't_pos': -603, 'x_vel': 6, 'y_vel': 265, 't_vel': 8484}
2024-07-16 17:44:07 {'yaw': 3579, 'pitch': 13, 'roll': 29, 'x_acceleration': 1, 'y_acceleration': -1, 'z_acceleration': -2}
2024-07-16 17:44:07 {'x_pos': 3, 'y_pos': 1832, 't_pos': -10728, 'x_vel': 6, 'y_vel': 265, 't_vel': -1641}
2024-07-16 17:44:07 {'yaw': 3579, 'pitch': 13, 'roll': 28, 'x_acceleration': 4, 'y_acceleration': 0, 'z_acceleration': -2}
2024-07-16 17:44:08 {'x_pos': 1, 'y_pos': 1860, 't_pos': -20762, 'x_vel': 6, 'y_vel': 265, 't_vel': -11676}
2024-07-16 17:44:08 {'yaw': 3580, 'pitch': 13, 'roll': 30, 'x_acceleration': 1, 'y_acceleration': 3, 'z_acceleration': -5}
2024-07-16 17:44:08 {'x_pos': 1, 'y_pos': 1887, 't_pos': -30752, 'x_vel': -4, 'y_vel': 274, 't_vel': -21666}
